iter	Passed	Remaining
656	8201	4281
657	8210	4267
658	8222	4254
659	8236	4243
660	8249	4231
661	8267	4220
662	8283	4210
663	8296	4198
664	8307	4184
665	8321	4173
666	8335	4161
667	8349	4149
668	8366	4139
669	8381	4128
670	8390	4113
671	8404	4102
672	8420	4091
673	8436	4080
674	8453	4070
675	8471	4060
676	8486	4048
677	8498	4036
678	8514	4025
679	8532	4015
680	8549	4004
681	8562	3992
682	8576	3980
683	8591	3969
684	8607	3958
685	8619	3945
686	8632	3932
687	8644	3920
688	8658	3908
689	8672	3896
690	8682	3882
691	8694	3869
692	8707	3857
693	8720	3844
694	8728	3830
695	8740	3817
696	8753	3805
697	8761	3790
698	8773	3778
699	8787	3765
700	8799	3753
701	8809	3739
702	8822	3727
703	8835	3714
704	8843	3700
705	8855	3687
706	8867	3674
707	8882	3663
708	8892	3649
709	8907	3638
710	8925	3627
711	8941	3616
712	8959	3606
713	8983	3598
714	9004	3589
715	9027	3580
716	9050	3572
717	9068	3561
718	9088	3551
719	9120	3547
720	9151	3541
721	9166	3529
722	9182	3518
723	9201	3507
724	9219	3497
725	9234	3485
726	9251	3474
727	9267	3462
728	9282	3450
729	9297	3438
730	9311	3426
731	9319	3411
732	9332	3399
733	9346	3387
734	9359	3374
735	9370	3361
736	9381	3347
737	9394	3335
738	9407	3322
739	9415	3308
740	9427	3295
741	9440	3282
742	9453	3269
743	9461	3255
744	9475	3243
745	9489	3231
746	9498	3217
747	9510	3204
748	9523	3191
749	9531	3177
750	9543	3164
751	9556	3151
752	9571	3139
753	9579	3125
754	9592	3112
755	9608	3101
756	9622	3088
757	9636	3076
758	9652	3064
759	9668	3053
760	9681	3040
761	9693	3027
762	9710	3016
763	9726	3004
764	9740	2992
765	9755	2980
766	9771	2968
767	9787	2956
768	9800	2944
769	9817	2932
770	9836	2921
771	9854	2910
772	9875	2900
773	9892	2888
774	9911	2877
775	9924	2864
776	9945	2854
777	9961	2842
778	9982	2832
779	9999	2820
780	10020	2809
781	10038	2798
782	10063	2789
783	10078	2776
784	10095	2765
785	10112	2753
786	10125	2740
787	10136	2727
788	10153	2715
789	10168	2703
790	10184	2691
791	10199	2678
792	10214	2666
793	10230	2654
794	10244	2641
795	10253	2627
796	10276	2617
797	10284	2603
798	10298	2590
799	10313	2578
800	10326	2565
801	10340	2552
802	10356	2540
803	10365	2526
804	10379	2514
805	10394	2501
806	10409	2489
807	10421	2476
808	10429	2462
809	10442	2449
810	10454	2436
811	10462	2422
812	10474	2409
813	10487	2396
814	10498	2383
815	10510	2370
816	10525	2357
817	10543	2345
818	10559	2333
819	10573	2321
820	10590	2309
821	10608	2297
822	10625	2285
823	10641	2272
824	10656	2260
825	10674	2248
826	10692	2236
827	10706	2224
828	10721	2211
829	10735	2198
830	10746	2185
831	10759	2172
832	10774	2160
833	10790	2147
834	10804	2135
835	10819	2122
836	10835	2110
837	10848	2097
838	10859	2083
839	10871	2070
840	10884	2057
841	10897	2044
842	10906	2031
843	10920	2018
844	10933	2005
845	10947	1992
846	10957	1979
847	10969	1966
848	10984	1953
849	10999	1941
850	11013	1928
851	11026	1915
852	11034	1901
853	11047	1888
854	11061	1875
855	11073	1862
856	11083	1849
857	11098	1836
858	11119	1825
859	11135	1812
860	11156	1801
861	11168	1787
862	11183	1775
863	11199	1762
864	11215	1750
865	11232	1737
866	11248	1725
867	11263	1712
868	11278	1700
869	11298	1688
870	11324	1677
871	11344	1665
872	11360	1652
873	11373	1639
874	11382	1626
875	11394	1612
876	11408	1600
877	11421	1587
878	11428	1573
879	11441	1560
880	11455	1547
881	11468	1534
882	11477	1520
883	11489	1507
884	11503	1494
885	11518	1482
886	11528	1468
887	11539	1455
888	11552	1442
889	11560	1428
890	11572	1415
891	11584	1402
892	11592	1389
893	11607	1376
894	11623	1363
895	11637	1350
896	11652	1338
897	11663	1324
898	11672	1311
899	11684	1298
900	11693	1284
901	11703	1271
902	11716	1258
903	11726	1245
904	11736	1232
905	11749	1219
906	11759	1205
907	11769	1192
908	11781	1179
909	11789	1165
910	11802	1153
911	11815	1140
912	11825	1126
913	11836	1113
914	11848	1100
915	11860	1087
916	11869	1074
917	11882	1061
918	11895	1048
919	11903	1035
920	11930	1023
921	11944	1010
922	11952	997
923	11965	984
924	11978	971
925	11986	957
926	11998	944
927	12011	931
928	12019	918
929	12031	905
930	12045	892
931	12059	879
932	12074	867
933	12082	853
934	12095	840
935	12109	827
936	12124	815
937	12133	801
938	12145	788
939	12157	776
940	12168	762
941	12179	749
942	12191	736
943	12204	723
944	12212	710
945	12224	697
946	12236	684
947	12245	671
948	12258	658
949	12270	645
950	12279	632
951	12290	619
952	12301	606
953	12309	593
954	12322	580
955	12331	567
956	12346	554
957	12357	541
958	12370	528
959	12378	515
960	12389	502
961	12401	489
962	12409	476
963	12421	463
964	12435	451
965	12444	438
966	12455	425
967	12468	412
968	12477	399
969	12488	386
970	12500	373
971	12509	360
972	12519	347
973	12533	334
974	12541	321
975	12554	308
976	12565	295
977	12575	282
978	12600	270
979	12611	257
980	12619	244
981	12630	231
982	12643	218
983	12652	205
984	12663	192
985	12671	179
986	12683	167
987	12696	154
988	12703	141
989	12720	128
990	12732	115
991	12745	102
992	12760	89
993	12768	77
994	12780	64
995	12793	51
996	12802	38
997	12813	25
998	12825	12
999	12834	0
